case_id,worker,region_block,prefecture,case_type,user_profile,channel_entry,difficulty,executed,audited,duplicate_flag,failure_category,severity,retry_required,notes
W1-001,W1,北海道・東北,青森,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-002,W1,北海道・東北,北海道,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-003,W1,北海道・東北,青森,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-004,W1,北海道・東北,福島,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-005,W1,北海道・東北,秋田,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-006,W1,北海道・東北,秋田,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-007,W1,北海道・東北,山形,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-008,W1,北海道・東北,岩手,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-009,W1,北海道・東北,北海道,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-010,W1,北海道・東北,福島,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-011,W1,北海道・東北,宮城,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-012,W1,北海道・東北,山形,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-013,W1,北海道・東北,秋田,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-014,W1,北海道・東北,宮城,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-015,W1,北海道・東北,岩手,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-016,W1,北海道・東北,福島,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-017,W1,北海道・東北,福島,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-018,W1,北海道・東北,秋田,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-019,W1,北海道・東北,岩手,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-020,W1,北海道・東北,秋田,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-021,W1,北海道・東北,宮城,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-022,W1,北海道・東北,山形,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-023,W1,北海道・東北,北海道,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-024,W1,北海道・東北,山形,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-025,W1,北海道・東北,宮城,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-026,W1,北海道・東北,宮城,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-027,W1,北海道・東北,岩手,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-028,W1,北海道・東北,福島,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-029,W1,北海道・東北,北海道,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-030,W1,北海道・東北,北海道,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-031,W1,北海道・東北,青森,boundary,第二新卒,LP→LINE,条件変更,no,no,no,,,no,
W1-032,W1,北海道・東北,山形,boundary,ベテラン(10年+),再来訪,短文,no,no,no,,,no,
W1-033,W1,北海道・東北,北海道,boundary,夜勤制限,広告→LINE,曖昧回答,no,no,no,,,no,
W1-034,W1,北海道・東北,青森,boundary,非常勤希望,紹介,誤字あり,no,no,no,,,no,
W1-035,W1,北海道・東北,青森,boundary,クリニック志向,深夜流入,条件変更,no,no,no,,,no,
W1-036,W1,北海道・東北,岩手,boundary,第二新卒,LP→LINE,短文,no,no,no,,,no,
W1-037,W1,北海道・東北,岩手,boundary,ベテラン(10年+),再来訪,曖昧回答,no,no,no,,,no,
W1-038,W1,北海道・東北,宮城,boundary,夜勤制限,広告→LINE,誤字あり,no,no,no,,,no,
W1-039,W1,北海道・東北,北海道,boundary,非常勤希望,紹介,条件変更,no,no,no,,,no,
W1-040,W1,北海道・東北,青森,boundary,クリニック志向,深夜流入,短文,no,no,no,,,no,
W1-041,W1,東海,愛知,boundary,第二新卒,LP→LINE,曖昧回答,no,no,no,,,no,
W1-042,W1,北海道・東北,北海道,boundary,ベテラン(10年+),再来訪,誤字あり,no,no,no,,,no,
W1-043,W1,関西,大阪,adversarial,夜勤制限,広告→LINE,急ぎ,no,no,no,,,no,
W1-044,W1,北海道・東北,宮城,adversarial,非常勤希望,紹介,曖昧回答,no,no,no,,,no,
W1-045,W1,九州・沖縄,福岡,adversarial,クリニック志向,深夜流入,矛盾条件,no,no,no,,,no,
W1-046,W1,関東,東京,adversarial,第二新卒,LP→LINE,繰返し質問,no,no,no,,,no,
W1-047,W1,中国,広島,adversarial,ベテラン(10年+),再来訪,急ぎ,no,no,no,,,no,
W1-048,W1,関東,神奈川,adversarial,夜勤制限,広告→LINE,曖昧回答,no,no,no,,,no,
W1-049,W1,関東,埼玉,adversarial,非常勤希望,紹介,矛盾条件,no,no,no,,,no,
W1-050,W1,関西,京都,adversarial,クリニック志向,深夜流入,繰返し質問,no,no,no,,,no,
W2-001,W2,関東,茨城,standard,若手(3-5年),紹介,標準,no,no,no,,,no,
W2-002,W2,関東,群馬,standard,ブランクあり,深夜流入,標準,no,no,no,,,no,
W2-003,W2,関東,埼玉,standard,時短希望,LP→LINE,標準,no,no,no,,,no,
W2-004,W2,関東,茨城,standard,夜勤専従,再来訪,標準,no,no,no,,,no,
W2-005,W2,関東,埼玉,standard,情報収集中,広告→LINE,標準,no,no,no,,,no,
W2-006,W2,関東,神奈川,standard,若手(3-5年),紹介,標準,no,no,no,,,no,
W2-007,W2,関東,群馬,standard,ブランクあり,深夜流入,標準,no,no,no,,,no,
W2-008,W2,関東,東京,standard,時短希望,LP→LINE,標準,no,no,no,,,no,
W2-009,W2,関東,千葉,standard,夜勤専従,再来訪,標準,no,no,no,,,no,
W2-010,W2,関東,千葉,standard,情報収集中,広告→LINE,標準,no,no,no,,,no,
W2-011,W2,関東,千葉,standard,若手(3-5年),紹介,標準,no,no,no,,,no,
W2-012,W2,関東,東京,standard,ブランクあり,深夜流入,標準,no,no,no,,,no,
W2-013,W2,関東,東京,standard,時短希望,LP→LINE,標準,no,no,no,,,no,
W2-014,W2,関東,群馬,standard,夜勤専従,再来訪,標準,no,no,no,,,no,
W2-015,W2,関東,栃木,standard,情報収集中,広告→LINE,標準,no,no,no,,,no,
W2-016,W2,関東,埼玉,standard,若手(3-5年),紹介,標準,no,no,no,,,no,
W2-017,W2,関東,神奈川,standard,ブランクあり,深夜流入,標準,no,no,no,,,no,
W2-018,W2,関東,栃木,standard,時短希望,LP→LINE,標準,no,no,no,,,no,
W2-019,W2,関東,東京,standard,夜勤専従,再来訪,標準,no,no,no,,,no,
W2-020,W2,関東,神奈川,standard,情報収集中,広告→LINE,標準,no,no,no,,,no,
W2-021,W2,関東,栃木,standard,若手(3-5年),紹介,標準,no,no,no,,,no,
W2-022,W2,関東,群馬,standard,ブランクあり,深夜流入,標準,no,no,no,,,no,
W2-023,W2,関東,神奈川,standard,時短希望,LP→LINE,標準,no,no,no,,,no,
W2-024,W2,関東,埼玉,standard,夜勤専従,再来訪,標準,no,no,no,,,no,
W2-025,W2,関東,栃木,standard,情報収集中,広告→LINE,標準,no,no,no,,,no,
W2-026,W2,関東,神奈川,standard,若手(3-5年),紹介,標準,no,no,no,,,no,
W2-027,W2,関東,茨城,standard,ブランクあり,深夜流入,標準,no,no,no,,,no,
W2-028,W2,関東,千葉,standard,時短希望,LP→LINE,標準,no,no,no,,,no,
W2-029,W2,関東,栃木,standard,夜勤専従,再来訪,標準,no,no,no,,,no,
W2-030,W2,関東,千葉,standard,情報収集中,広告→LINE,標準,no,no,no,,,no,
W2-031,W2,関東,埼玉,boundary,若手(3-5年),紹介,条件変更,no,no,no,,,no,
W2-032,W2,関東,東京,boundary,ブランクあり,深夜流入,短文,no,no,no,,,no,
W2-033,W2,関東,群馬,boundary,時短希望,LP→LINE,曖昧回答,no,no,no,,,no,
W2-034,W2,関東,茨城,boundary,夜勤専従,再来訪,誤字あり,no,no,no,,,no,
W2-035,W2,関東,茨城,boundary,情報収集中,広告→LINE,条件変更,no,no,no,,,no,
W2-036,W2,関東,群馬,boundary,若手(3-5年),紹介,短文,no,no,no,,,no,
W2-037,W2,関東,栃木,boundary,ブランクあり,深夜流入,曖昧回答,no,no,no,,,no,
W2-038,W2,関東,神奈川,boundary,時短希望,LP→LINE,誤字あり,no,no,no,,,no,
W2-039,W2,関東,東京,boundary,夜勤専従,再来訪,条件変更,no,no,no,,,no,
W2-040,W2,関東,茨城,boundary,情報収集中,広告→LINE,短文,no,no,no,,,no,
W2-041,W2,東海,愛知,boundary,若手(3-5年),紹介,曖昧回答,no,no,no,,,no,
W2-042,W2,関西,京都,boundary,ブランクあり,深夜流入,誤字あり,no,no,no,,,no,
W2-043,W2,甲信越・北陸,新潟,adversarial,時短希望,LP→LINE,急ぎ,no,no,no,,,no,
W2-044,W2,中国,広島,adversarial,夜勤専従,再来訪,曖昧回答,no,no,no,,,no,
W2-045,W2,東海,静岡,adversarial,情報収集中,広告→LINE,矛盾条件,no,no,no,,,no,
W2-046,W2,九州・沖縄,福岡,adversarial,若手(3-5年),紹介,繰返し質問,no,no,no,,,no,
W2-047,W2,北海道・東北,宮城,adversarial,ブランクあり,深夜流入,急ぎ,no,no,no,,,no,
W2-048,W2,関西,兵庫,adversarial,時短希望,LP→LINE,曖昧回答,no,no,no,,,no,
W2-049,W2,北海道・東北,北海道,adversarial,夜勤専従,再来訪,矛盾条件,no,no,no,,,no,
W2-050,W2,関西,大阪,adversarial,情報収集中,広告→LINE,繰返し質問,no,no,no,,,no,
W3-001,W3,甲信越・北陸,長野,standard,中堅(5-10年),再来訪,標準,no,no,no,,,no,
W3-002,W3,甲信越・北陸,福井,standard,子育て中,広告→LINE,標準,no,no,no,,,no,
W3-003,W3,甲信越・北陸,長野,standard,常勤希望,紹介,標準,no,no,no,,,no,
W3-004,W3,甲信越・北陸,新潟,standard,訪問看護希望,深夜流入,標準,no,no,no,,,no,
W3-005,W3,甲信越・北陸,福井,standard,新卒,LP→LINE,標準,no,no,no,,,no,
W3-006,W3,甲信越・北陸,山梨,standard,中堅(5-10年),再来訪,標準,no,no,no,,,no,
W3-007,W3,甲信越・北陸,新潟,standard,子育て中,広告→LINE,標準,no,no,no,,,no,
W3-008,W3,甲信越・北陸,石川,standard,常勤希望,紹介,標準,no,no,no,,,no,
W3-009,W3,甲信越・北陸,富山,standard,訪問看護希望,深夜流入,標準,no,no,no,,,no,
W3-010,W3,甲信越・北陸,石川,standard,新卒,LP→LINE,標準,no,no,no,,,no,
W3-011,W3,甲信越・北陸,富山,standard,中堅(5-10年),再来訪,標準,no,no,no,,,no,
W3-012,W3,甲信越・北陸,山梨,standard,子育て中,広告→LINE,標準,no,no,no,,,no,
W3-013,W3,甲信越・北陸,新潟,standard,常勤希望,紹介,標準,no,no,no,,,no,
W3-014,W3,甲信越・北陸,新潟,standard,訪問看護希望,深夜流入,標準,no,no,no,,,no,
W3-015,W3,甲信越・北陸,福井,standard,新卒,LP→LINE,標準,no,no,no,,,no,
W3-016,W3,甲信越・北陸,新潟,standard,中堅(5-10年),再来訪,標準,no,no,no,,,no,
W3-017,W3,甲信越・北陸,石川,standard,子育て中,広告→LINE,標準,no,no,no,,,no,
W3-018,W3,甲信越・北陸,長野,standard,常勤希望,紹介,標準,no,no,no,,,no,
W3-019,W3,甲信越・北陸,新潟,standard,訪問看護希望,深夜流入,標準,no,no,no,,,no,
W3-020,W3,甲信越・北陸,長野,standard,新卒,LP→LINE,標準,no,no,no,,,no,
W3-021,W3,甲信越・北陸,富山,standard,中堅(5-10年),再来訪,標準,no,no,no,,,no,
W3-022,W3,甲信越・北陸,石川,standard,子育て中,広告→LINE,標準,no,no,no,,,no,
W3-023,W3,甲信越・北陸,山梨,standard,常勤希望,紹介,標準,no,no,no,,,no,
W3-024,W3,甲信越・北陸,富山,standard,訪問看護希望,深夜流入,標準,no,no,no,,,no,
W3-025,W3,甲信越・北陸,福井,standard,新卒,LP→LINE,標準,no,no,no,,,no,
W3-026,W3,甲信越・北陸,長野,standard,中堅(5-10年),再来訪,標準,no,no,no,,,no,
W3-027,W3,甲信越・北陸,福井,standard,子育て中,広告→LINE,標準,no,no,no,,,no,
W3-028,W3,甲信越・北陸,山梨,standard,常勤希望,紹介,標準,no,no,no,,,no,
W3-029,W3,甲信越・北陸,石川,standard,訪問看護希望,深夜流入,標準,no,no,no,,,no,
W3-030,W3,甲信越・北陸,福井,standard,新卒,LP→LINE,標準,no,no,no,,,no,
W3-031,W3,甲信越・北陸,富山,boundary,中堅(5-10年),再来訪,条件変更,no,no,no,,,no,
W3-032,W3,甲信越・北陸,富山,boundary,子育て中,広告→LINE,短文,no,no,no,,,no,
W3-033,W3,甲信越・北陸,石川,boundary,常勤希望,紹介,曖昧回答,no,no,no,,,no,
W3-034,W3,甲信越・北陸,富山,boundary,訪問看護希望,深夜流入,誤字あり,no,no,no,,,no,
W3-035,W3,甲信越・北陸,山梨,boundary,新卒,LP→LINE,条件変更,no,no,no,,,no,
W3-036,W3,甲信越・北陸,山梨,boundary,中堅(5-10年),再来訪,短文,no,no,no,,,no,
W3-037,W3,甲信越・北陸,長野,boundary,子育て中,広告→LINE,曖昧回答,no,no,no,,,no,
W3-038,W3,甲信越・北陸,石川,boundary,常勤希望,紹介,誤字あり,no,no,no,,,no,
W3-039,W3,甲信越・北陸,福井,boundary,訪問看護希望,深夜流入,条件変更,no,no,no,,,no,
W3-040,W3,甲信越・北陸,新潟,boundary,新卒,LP→LINE,短文,no,no,no,,,no,
W3-041,W3,九州・沖縄,福岡,boundary,中堅(5-10年),再来訪,曖昧回答,no,no,no,,,no,
W3-042,W3,中国,広島,boundary,子育て中,広告→LINE,誤字あり,no,no,no,,,no,
W3-043,W3,関西,兵庫,adversarial,常勤希望,紹介,急ぎ,no,no,no,,,no,
W3-044,W3,北海道・東北,北海道,adversarial,訪問看護希望,深夜流入,曖昧回答,no,no,no,,,no,
W3-045,W3,東海,愛知,adversarial,新卒,LP→LINE,矛盾条件,no,no,no,,,no,
W3-046,W3,関東,神奈川,adversarial,中堅(5-10年),再来訪,繰返し質問,no,no,no,,,no,
W3-047,W3,関西,京都,adversarial,子育て中,広告→LINE,急ぎ,no,no,no,,,no,
W3-048,W3,関西,大阪,adversarial,常勤希望,紹介,曖昧回答,no,no,no,,,no,
W3-049,W3,関東,東京,adversarial,訪問看護希望,深夜流入,矛盾条件,no,no,no,,,no,
W3-050,W3,関東,埼玉,adversarial,新卒,LP→LINE,繰返し質問,no,no,no,,,no,
W4-001,W4,東海,岐阜,standard,ベテラン(10年+),深夜流入,標準,no,no,no,,,no,
W4-002,W4,東海,愛知,standard,夜勤制限,LP→LINE,標準,no,no,no,,,no,
W4-003,W4,東海,岐阜,standard,非常勤希望,再来訪,標準,no,no,no,,,no,
W4-004,W4,東海,愛知,standard,クリニック志向,広告→LINE,標準,no,no,no,,,no,
W4-005,W4,東海,静岡,standard,第二新卒,紹介,標準,no,no,no,,,no,
W4-006,W4,東海,静岡,standard,ベテラン(10年+),深夜流入,標準,no,no,no,,,no,
W4-007,W4,東海,三重,standard,夜勤制限,LP→LINE,標準,no,no,no,,,no,
W4-008,W4,東海,静岡,standard,非常勤希望,再来訪,標準,no,no,no,,,no,
W4-009,W4,東海,愛知,standard,クリニック志向,広告→LINE,標準,no,no,no,,,no,
W4-010,W4,東海,静岡,standard,第二新卒,紹介,標準,no,no,no,,,no,
W4-011,W4,東海,岐阜,standard,ベテラン(10年+),深夜流入,標準,no,no,no,,,no,
W4-012,W4,東海,愛知,standard,夜勤制限,LP→LINE,標準,no,no,no,,,no,
W4-013,W4,東海,三重,standard,非常勤希望,再来訪,標準,no,no,no,,,no,
W4-014,W4,東海,岐阜,standard,クリニック志向,広告→LINE,標準,no,no,no,,,no,
W4-015,W4,東海,愛知,standard,第二新卒,紹介,標準,no,no,no,,,no,
W4-016,W4,東海,静岡,standard,ベテラン(10年+),深夜流入,標準,no,no,no,,,no,
W4-017,W4,東海,岐阜,standard,夜勤制限,LP→LINE,標準,no,no,no,,,no,
W4-018,W4,東海,愛知,standard,非常勤希望,再来訪,標準,no,no,no,,,no,
W4-019,W4,東海,愛知,standard,クリニック志向,広告→LINE,標準,no,no,no,,,no,
W4-020,W4,東海,愛知,standard,第二新卒,紹介,標準,no,no,no,,,no,
W4-021,W4,東海,岐阜,standard,ベテラン(10年+),深夜流入,標準,no,no,no,,,no,
W4-022,W4,東海,三重,standard,夜勤制限,LP→LINE,標準,no,no,no,,,no,
W4-023,W4,東海,岐阜,standard,非常勤希望,再来訪,標準,no,no,no,,,no,
W4-024,W4,東海,三重,standard,クリニック志向,広告→LINE,標準,no,no,no,,,no,
W4-025,W4,東海,愛知,standard,第二新卒,紹介,標準,no,no,no,,,no,
W4-026,W4,東海,静岡,standard,ベテラン(10年+),深夜流入,標準,no,no,no,,,no,
W4-027,W4,東海,三重,standard,夜勤制限,LP→LINE,標準,no,no,no,,,no,
W4-028,W4,東海,三重,standard,非常勤希望,再来訪,標準,no,no,no,,,no,
W4-029,W4,東海,静岡,standard,クリニック志向,広告→LINE,標準,no,no,no,,,no,
W4-030,W4,東海,愛知,standard,第二新卒,紹介,標準,no,no,no,,,no,
W4-031,W4,東海,静岡,boundary,ベテラン(10年+),深夜流入,条件変更,no,no,no,,,no,
W4-032,W4,東海,岐阜,boundary,夜勤制限,LP→LINE,短文,no,no,no,,,no,
W4-033,W4,東海,岐阜,boundary,非常勤希望,再来訪,曖昧回答,no,no,no,,,no,
W4-034,W4,東海,静岡,boundary,クリニック志向,広告→LINE,誤字あり,no,no,no,,,no,
W4-035,W4,東海,三重,boundary,第二新卒,紹介,条件変更,no,no,no,,,no,
W4-036,W4,東海,愛知,boundary,ベテラン(10年+),深夜流入,短文,no,no,no,,,no,
W4-037,W4,東海,岐阜,boundary,夜勤制限,LP→LINE,曖昧回答,no,no,no,,,no,
W4-038,W4,東海,三重,boundary,非常勤希望,再来訪,誤字あり,no,no,no,,,no,
W4-039,W4,東海,静岡,boundary,クリニック志向,広告→LINE,条件変更,no,no,no,,,no,
W4-040,W4,東海,三重,boundary,第二新卒,紹介,短文,no,no,no,,,no,
W4-041,W4,関西,大阪,boundary,ベテラン(10年+),深夜流入,曖昧回答,no,no,no,,,no,
W4-042,W4,中国,広島,boundary,夜勤制限,LP→LINE,誤字あり,no,no,no,,,no,
W4-043,W4,関東,東京,adversarial,非常勤希望,再来訪,急ぎ,no,no,no,,,no,
W4-044,W4,関東,神奈川,adversarial,クリニック志向,広告→LINE,曖昧回答,no,no,no,,,no,
W4-045,W4,関西,京都,adversarial,第二新卒,紹介,矛盾条件,no,no,no,,,no,
W4-046,W4,北海道・東北,北海道,adversarial,ベテラン(10年+),深夜流入,繰返し質問,no,no,no,,,no,
