case_id,worker,region_block,prefecture,case_type,user_profile,channel_entry,difficulty,executed,audited,duplicate_flag,failure_category,severity,retry_required,notes
W4-047,W4,関東,埼玉,adversarial,夜勤制限,LP→LINE,急ぎ,no,no,no,,,no,
W4-048,W4,関西,兵庫,adversarial,非常勤希望,再来訪,曖昧回答,no,no,no,,,no,
W4-049,W4,北海道・東北,宮城,adversarial,クリニック志向,広告→LINE,矛盾条件,no,no,no,,,no,
W4-050,W4,九州・沖縄,福岡,adversarial,第二新卒,紹介,繰返し質問,no,no,no,,,no,
W5-001,W5,関西,京都,standard,ブランクあり,広告→LINE,標準,no,no,no,,,no,
W5-002,W5,関西,和歌山,standard,時短希望,紹介,標準,no,no,no,,,no,
W5-003,W5,関西,兵庫,standard,夜勤専従,深夜流入,標準,no,no,no,,,no,
W5-004,W5,関西,大阪,standard,情報収集中,LP→LINE,標準,no,no,no,,,no,
W5-005,W5,関西,京都,standard,若手(3-5年),再来訪,標準,no,no,no,,,no,
W5-006,W5,関西,大阪,standard,ブランクあり,広告→LINE,標準,no,no,no,,,no,
W5-007,W5,関西,京都,standard,時短希望,紹介,標準,no,no,no,,,no,
W5-008,W5,関西,奈良,standard,夜勤専従,深夜流入,標準,no,no,no,,,no,
W5-009,W5,関西,大阪,standard,情報収集中,LP→LINE,標準,no,no,no,,,no,
W5-010,W5,関西,兵庫,standard,若手(3-5年),再来訪,標準,no,no,no,,,no,
W5-011,W5,関西,和歌山,standard,ブランクあり,広告→LINE,標準,no,no,no,,,no,
W5-012,W5,関西,滋賀,standard,時短希望,紹介,標準,no,no,no,,,no,
W5-013,W5,関西,滋賀,standard,夜勤専従,深夜流入,標準,no,no,no,,,no,
W5-014,W5,関西,京都,standard,情報収集中,LP→LINE,標準,no,no,no,,,no,
W5-015,W5,関西,大阪,standard,若手(3-5年),再来訪,標準,no,no,no,,,no,
W5-016,W5,関西,奈良,standard,ブランクあり,広告→LINE,標準,no,no,no,,,no,
W5-017,W5,関西,兵庫,standard,時短希望,紹介,標準,no,no,no,,,no,
W5-018,W5,関西,兵庫,standard,夜勤専従,深夜流入,標準,no,no,no,,,no,
W5-019,W5,関西,京都,standard,情報収集中,LP→LINE,標準,no,no,no,,,no,
W5-020,W5,関西,滋賀,standard,若手(3-5年),再来訪,標準,no,no,no,,,no,
W5-021,W5,関西,兵庫,standard,ブランクあり,広告→LINE,標準,no,no,no,,,no,
W5-022,W5,関西,奈良,standard,時短希望,紹介,標準,no,no,no,,,no,
W5-023,W5,関西,和歌山,standard,夜勤専従,深夜流入,標準,no,no,no,,,no,
W5-024,W5,関西,大阪,standard,情報収集中,LP→LINE,標準,no,no,no,,,no,
W5-025,W5,関西,奈良,standard,若手(3-5年),再来訪,標準,no,no,no,,,no,
W5-026,W5,関西,和歌山,standard,ブランクあり,広告→LINE,標準,no,no,no,,,no,
W5-027,W5,関西,大阪,standard,時短希望,紹介,標準,no,no,no,,,no,
W5-028,W5,関西,大阪,standard,夜勤専従,深夜流入,標準,no,no,no,,,no,
W5-029,W5,関西,滋賀,standard,情報収集中,LP→LINE,標準,no,no,no,,,no,
W5-030,W5,関西,京都,standard,若手(3-5年),再来訪,標準,no,no,no,,,no,
W5-031,W5,関西,滋賀,boundary,ブランクあり,広告→LINE,条件変更,no,no,no,,,no,
W5-032,W5,関西,大阪,boundary,時短希望,紹介,短文,no,no,no,,,no,
W5-033,W5,関西,大阪,boundary,夜勤専従,深夜流入,曖昧回答,no,no,no,,,no,
W5-034,W5,関西,京都,boundary,情報収集中,LP→LINE,誤字あり,no,no,no,,,no,
W5-035,W5,関西,滋賀,boundary,若手(3-5年),再来訪,条件変更,no,no,no,,,no,
W5-036,W5,関西,和歌山,boundary,ブランクあり,広告→LINE,短文,no,no,no,,,no,
W5-037,W5,関西,奈良,boundary,時短希望,紹介,曖昧回答,no,no,no,,,no,
W5-038,W5,関西,兵庫,boundary,夜勤専従,深夜流入,誤字あり,no,no,no,,,no,
W5-039,W5,関西,兵庫,boundary,情報収集中,LP→LINE,条件変更,no,no,no,,,no,
W5-040,W5,関西,兵庫,boundary,若手(3-5年),再来訪,短文,no,no,no,,,no,
W5-041,W5,東海,静岡,boundary,ブランクあり,広告→LINE,曖昧回答,no,no,no,,,no,
W5-042,W5,北海道・東北,北海道,boundary,時短希望,紹介,誤字あり,no,no,no,,,no,
W5-043,W5,関東,埼玉,adversarial,夜勤専従,深夜流入,急ぎ,no,no,no,,,no,
W5-044,W5,九州・沖縄,福岡,adversarial,情報収集中,LP→LINE,曖昧回答,no,no,no,,,no,
W5-045,W5,甲信越・北陸,新潟,adversarial,若手(3-5年),再来訪,矛盾条件,no,no,no,,,no,
W5-046,W5,中国,広島,adversarial,ブランクあり,広告→LINE,繰返し質問,no,no,no,,,no,
W5-047,W5,関東,東京,adversarial,時短希望,紹介,急ぎ,no,no,no,,,no,
W5-048,W5,東海,愛知,adversarial,夜勤専従,深夜流入,曖昧回答,no,no,no,,,no,
W5-049,W5,関東,神奈川,adversarial,情報収集中,LP→LINE,矛盾条件,no,no,no,,,no,
W5-050,W5,北海道・東北,宮城,adversarial,若手(3-5年),再来訪,繰返し質問,no,no,no,,,no,
W6-001,W6,中国,島根,standard,子育て中,LP→LINE,標準,no,no,no,,,no,
W6-002,W6,中国,広島,standard,常勤希望,再来訪,標準,no,no,no,,,no,
W6-003,W6,中国,山口,standard,訪問看護希望,広告→LINE,標準,no,no,no,,,no,
W6-004,W6,中国,岡山,standard,新卒,紹介,標準,no,no,no,,,no,
W6-005,W6,中国,岡山,standard,中堅(5-10年),深夜流入,標準,no,no,no,,,no,
W6-006,W6,中国,広島,standard,子育て中,LP→LINE,標準,no,no,no,,,no,
W6-007,W6,中国,島根,standard,常勤希望,再来訪,標準,no,no,no,,,no,
W6-008,W6,中国,広島,standard,訪問看護希望,広告→LINE,標準,no,no,no,,,no,
W6-009,W6,中国,島根,standard,新卒,紹介,標準,no,no,no,,,no,
W6-010,W6,中国,広島,standard,中堅(5-10年),深夜流入,標準,no,no,no,,,no,
W6-011,W6,中国,山口,standard,子育て中,LP→LINE,標準,no,no,no,,,no,
W6-012,W6,中国,山口,standard,常勤希望,再来訪,標準,no,no,no,,,no,
W6-013,W6,中国,岡山,standard,訪問看護希望,広告→LINE,標準,no,no,no,,,no,
W6-014,W6,中国,山口,standard,新卒,紹介,標準,no,no,no,,,no,
W6-015,W6,中国,岡山,standard,中堅(5-10年),深夜流入,標準,no,no,no,,,no,
W6-016,W6,中国,山口,standard,子育て中,LP→LINE,標準,no,no,no,,,no,
W6-017,W6,中国,鳥取,standard,常勤希望,再来訪,標準,no,no,no,,,no,
W6-018,W6,中国,鳥取,standard,訪問看護希望,広告→LINE,標準,no,no,no,,,no,
W6-019,W6,中国,鳥取,standard,新卒,紹介,標準,no,no,no,,,no,
W6-020,W6,中国,広島,standard,中堅(5-10年),深夜流入,標準,no,no,no,,,no,
W6-021,W6,中国,広島,standard,子育て中,LP→LINE,標準,no,no,no,,,no,
W6-022,W6,中国,鳥取,standard,常勤希望,再来訪,標準,no,no,no,,,no,
W6-023,W6,中国,島根,standard,訪問看護希望,広告→LINE,標準,no,no,no,,,no,
W6-024,W6,中国,広島,standard,新卒,紹介,標準,no,no,no,,,no,
W6-025,W6,中国,島根,standard,中堅(5-10年),深夜流入,標準,no,no,no,,,no,
W6-026,W6,中国,鳥取,standard,子育て中,LP→LINE,標準,no,no,no,,,no,
W6-027,W6,中国,島根,standard,常勤希望,再来訪,標準,no,no,no,,,no,
W6-028,W6,中国,鳥取,standard,訪問看護希望,広告→LINE,標準,no,no,no,,,no,
W6-029,W6,中国,岡山,standard,新卒,紹介,標準,no,no,no,,,no,
W6-030,W6,中国,岡山,standard,中堅(5-10年),深夜流入,標準,no,no,no,,,no,
W6-031,W6,中国,山口,boundary,子育て中,LP→LINE,条件変更,no,no,no,,,no,
W6-032,W6,中国,島根,boundary,常勤希望,再来訪,短文,no,no,no,,,no,
W6-033,W6,中国,岡山,boundary,訪問看護希望,広告→LINE,曖昧回答,no,no,no,,,no,
W6-034,W6,中国,島根,boundary,新卒,紹介,誤字あり,no,no,no,,,no,
W6-035,W6,中国,広島,boundary,中堅(5-10年),深夜流入,条件変更,no,no,no,,,no,
W6-036,W6,中国,広島,boundary,子育て中,LP→LINE,短文,no,no,no,,,no,
W6-037,W6,中国,岡山,boundary,常勤希望,再来訪,曖昧回答,no,no,no,,,no,
W6-038,W6,中国,鳥取,boundary,訪問看護希望,広告→LINE,誤字あり,no,no,no,,,no,
W6-039,W6,中国,鳥取,boundary,新卒,紹介,条件変更,no,no,no,,,no,
W6-040,W6,中国,山口,boundary,中堅(5-10年),深夜流入,短文,no,no,no,,,no,
W6-041,W6,関西,大阪,boundary,子育て中,LP→LINE,曖昧回答,no,no,no,,,no,
W6-042,W6,関西,兵庫,boundary,常勤希望,再来訪,誤字あり,no,no,no,,,no,
W6-043,W6,関東,東京,adversarial,訪問看護希望,広告→LINE,急ぎ,no,no,no,,,no,
W6-044,W6,関西,京都,adversarial,新卒,紹介,曖昧回答,no,no,no,,,no,
W6-045,W6,関東,埼玉,adversarial,中堅(5-10年),深夜流入,矛盾条件,no,no,no,,,no,
W6-046,W6,九州・沖縄,福岡,adversarial,子育て中,LP→LINE,繰返し質問,no,no,no,,,no,
W6-047,W6,東海,愛知,adversarial,常勤希望,再来訪,急ぎ,no,no,no,,,no,
W6-048,W6,北海道・東北,宮城,adversarial,訪問看護希望,広告→LINE,曖昧回答,no,no,no,,,no,
W6-049,W6,関東,神奈川,adversarial,新卒,紹介,矛盾条件,no,no,no,,,no,
W6-050,W6,北海道・東北,北海道,adversarial,中堅(5-10年),深夜流入,繰返し質問,no,no,no,,,no,
W7-001,W7,四国,香川,standard,夜勤制限,紹介,標準,no,no,no,,,no,
W7-002,W7,四国,徳島,standard,非常勤希望,深夜流入,標準,no,no,no,,,no,
W7-003,W7,四国,愛媛,standard,クリニック志向,LP→LINE,標準,no,no,no,,,no,
W7-004,W7,四国,香川,standard,第二新卒,再来訪,標準,no,no,no,,,no,
W7-005,W7,四国,香川,standard,ベテラン(10年+),広告→LINE,標準,no,no,no,,,no,
W7-006,W7,四国,香川,standard,夜勤制限,紹介,標準,no,no,no,,,no,
W7-007,W7,四国,徳島,standard,非常勤希望,深夜流入,標準,no,no,no,,,no,
W7-008,W7,四国,愛媛,standard,クリニック志向,LP→LINE,標準,no,no,no,,,no,
W7-009,W7,四国,徳島,standard,第二新卒,再来訪,標準,no,no,no,,,no,
W7-010,W7,四国,徳島,standard,ベテラン(10年+),広告→LINE,標準,no,no,no,,,no,
W7-011,W7,四国,愛媛,standard,夜勤制限,紹介,標準,no,no,no,,,no,
W7-012,W7,四国,愛媛,standard,非常勤希望,深夜流入,標準,no,no,no,,,no,
W7-013,W7,四国,徳島,standard,クリニック志向,LP→LINE,標準,no,no,no,,,no,
W7-014,W7,四国,香川,standard,第二新卒,再来訪,標準,no,no,no,,,no,
W7-015,W7,四国,香川,standard,ベテラン(10年+),広告→LINE,標準,no,no,no,,,no,
W7-016,W7,四国,高知,standard,夜勤制限,紹介,標準,no,no,no,,,no,
W7-017,W7,四国,高知,standard,非常勤希望,深夜流入,標準,no,no,no,,,no,
W7-018,W7,四国,香川,standard,クリニック志向,LP→LINE,標準,no,no,no,,,no,
W7-019,W7,四国,徳島,standard,第二新卒,再来訪,標準,no,no,no,,,no,
W7-020,W7,四国,愛媛,standard,ベテラン(10年+),広告→LINE,標準,no,no,no,,,no,
W7-021,W7,四国,愛媛,standard,夜勤制限,紹介,標準,no,no,no,,,no,
W7-022,W7,四国,愛媛,standard,非常勤希望,深夜流入,標準,no,no,no,,,no,
W7-023,W7,四国,愛媛,standard,クリニック志向,LP→LINE,標準,no,no,no,,,no,
W7-024,W7,四国,徳島,standard,第二新卒,再来訪,標準,no,no,no,,,no,
W7-025,W7,四国,高知,standard,ベテラン(10年+),広告→LINE,標準,no,no,no,,,no,
W7-026,W7,四国,徳島,standard,夜勤制限,紹介,標準,no,no,no,,,no,
W7-027,W7,四国,徳島,standard,非常勤希望,深夜流入,標準,no,no,no,,,no,
W7-028,W7,四国,高知,standard,クリニック志向,LP→LINE,標準,no,no,no,,,no,
W7-029,W7,四国,高知,standard,第二新卒,再来訪,標準,no,no,no,,,no,
W7-030,W7,四国,高知,standard,ベテラン(10年+),広告→LINE,標準,no,no,no,,,no,
W7-031,W7,四国,香川,boundary,夜勤制限,紹介,条件変更,no,no,no,,,no,
W7-032,W7,四国,高知,boundary,非常勤希望,深夜流入,短文,no,no,no,,,no,
W7-033,W7,四国,高知,boundary,クリニック志向,LP→LINE,曖昧回答,no,no,no,,,no,
W7-034,W7,四国,高知,boundary,第二新卒,再来訪,誤字あり,no,no,no,,,no,
W7-035,W7,四国,愛媛,boundary,ベテラン(10年+),広告→LINE,条件変更,no,no,no,,,no,
W7-036,W7,四国,香川,boundary,夜勤制限,紹介,短文,no,no,no,,,no,
W7-037,W7,四国,高知,boundary,非常勤希望,深夜流入,曖昧回答,no,no,no,,,no,
W7-038,W7,四国,徳島,boundary,クリニック志向,LP→LINE,誤字あり,no,no,no,,,no,
W7-039,W7,四国,香川,boundary,第二新卒,再来訪,条件変更,no,no,no,,,no,
W7-040,W7,四国,愛媛,boundary,ベテラン(10年+),広告→LINE,短文,no,no,no,,,no,
W7-041,W7,関西,大阪,boundary,夜勤制限,紹介,曖昧回答,no,no,no,,,no,
W7-042,W7,関西,兵庫,boundary,非常勤希望,深夜流入,誤字あり,no,no,no,,,no,
W7-043,W7,中国,広島,adversarial,クリニック志向,LP→LINE,急ぎ,no,no,no,,,no,
W7-044,W7,九州・沖縄,福岡,adversarial,第二新卒,再来訪,曖昧回答,no,no,no,,,no,
W7-045,W7,関西,京都,adversarial,ベテラン(10年+),広告→LINE,矛盾条件,no,no,no,,,no,
W7-046,W7,関東,東京,adversarial,夜勤制限,紹介,繰返し質問,no,no,no,,,no,
W7-047,W7,中国,岡山,adversarial,非常勤希望,深夜流入,急ぎ,no,no,no,,,no,
W7-048,W7,北海道・東北,北海道,adversarial,クリニック志向,LP→LINE,曖昧回答,no,no,no,,,no,
W7-049,W7,関東,神奈川,adversarial,第二新卒,再来訪,矛盾条件,no,no,no,,,no,
W7-050,W7,東海,愛知,adversarial,ベテラン(10年+),広告→LINE,繰返し質問,no,no,no,,,no,
W8-001,W8,九州・沖縄,大分,standard,時短希望,再来訪,標準,no,no,no,,,no,
W8-002,W8,九州・沖縄,大分,standard,夜勤専従,広告→LINE,標準,no,no,no,,,no,
W8-003,W8,九州・沖縄,佐賀,standard,情報収集中,紹介,標準,no,no,no,,,no,
W8-004,W8,九州・沖縄,宮崎,standard,若手(3-5年),深夜流入,標準,no,no,no,,,no,
W8-005,W8,九州・沖縄,熊本,standard,ブランクあり,LP→LINE,標準,no,no,no,,,no,
W8-006,W8,九州・沖縄,長崎,standard,時短希望,再来訪,標準,no,no,no,,,no,
W8-007,W8,九州・沖縄,佐賀,standard,夜勤専従,広告→LINE,標準,no,no,no,,,no,
W8-008,W8,九州・沖縄,佐賀,standard,情報収集中,紹介,標準,no,no,no,,,no,
W8-009,W8,九州・沖縄,宮崎,standard,若手(3-5年),深夜流入,標準,no,no,no,,,no,
W8-010,W8,九州・沖縄,福岡,standard,ブランクあり,LP→LINE,標準,no,no,no,,,no,
W8-011,W8,九州・沖縄,沖縄,standard,時短希望,再来訪,標準,no,no,no,,,no,
W8-012,W8,九州・沖縄,宮崎,standard,夜勤専従,広告→LINE,標準,no,no,no,,,no,
W8-013,W8,九州・沖縄,沖縄,standard,情報収集中,紹介,標準,no,no,no,,,no,
W8-014,W8,九州・沖縄,福岡,standard,若手(3-5年),深夜流入,標準,no,no,no,,,no,
W8-015,W8,九州・沖縄,鹿児島,standard,ブランクあり,LP→LINE,標準,no,no,no,,,no,
W8-016,W8,九州・沖縄,沖縄,standard,時短希望,再来訪,標準,no,no,no,,,no,
W8-017,W8,九州・沖縄,福岡,standard,夜勤専従,広告→LINE,標準,no,no,no,,,no,
W8-018,W8,九州・沖縄,大分,standard,情報収集中,紹介,標準,no,no,no,,,no,
W8-019,W8,九州・沖縄,大分,standard,若手(3-5年),深夜流入,標準,no,no,no,,,no,
W8-020,W8,九州・沖縄,福岡,standard,ブランクあり,LP→LINE,標準,no,no,no,,,no,
W8-021,W8,九州・沖縄,鹿児島,standard,時短希望,再来訪,標準,no,no,no,,,no,
W8-022,W8,九州・沖縄,熊本,standard,夜勤専従,広告→LINE,標準,no,no,no,,,no,
W8-023,W8,九州・沖縄,熊本,standard,情報収集中,紹介,標準,no,no,no,,,no,
W8-024,W8,九州・沖縄,宮崎,standard,若手(3-5年),深夜流入,標準,no,no,no,,,no,
W8-025,W8,九州・沖縄,鹿児島,standard,ブランクあり,LP→LINE,標準,no,no,no,,,no,
W8-026,W8,九州・沖縄,熊本,standard,時短希望,再来訪,標準,no,no,no,,,no,
W8-027,W8,九州・沖縄,宮崎,standard,夜勤専従,広告→LINE,標準,no,no,no,,,no,
W8-028,W8,九州・沖縄,長崎,standard,情報収集中,紹介,標準,no,no,no,,,no,
W8-029,W8,九州・沖縄,福岡,standard,若手(3-5年),深夜流入,標準,no,no,no,,,no,
W8-030,W8,九州・沖縄,佐賀,standard,ブランクあり,LP→LINE,標準,no,no,no,,,no,
W8-031,W8,九州・沖縄,長崎,boundary,時短希望,再来訪,条件変更,no,no,no,,,no,
W8-032,W8,九州・沖縄,長崎,boundary,夜勤専従,広告→LINE,短文,no,no,no,,,no,
W8-033,W8,九州・沖縄,沖縄,boundary,情報収集中,紹介,曖昧回答,no,no,no,,,no,
W8-034,W8,九州・沖縄,大分,boundary,若手(3-5年),深夜流入,誤字あり,no,no,no,,,no,
W8-035,W8,九州・沖縄,佐賀,boundary,ブランクあり,LP→LINE,条件変更,no,no,no,,,no,
W8-036,W8,九州・沖縄,熊本,boundary,時短希望,再来訪,短文,no,no,no,,,no,
W8-037,W8,九州・沖縄,鹿児島,boundary,夜勤専従,広告→LINE,曖昧回答,no,no,no,,,no,
W8-038,W8,九州・沖縄,長崎,boundary,情報収集中,紹介,誤字あり,no,no,no,,,no,
W8-039,W8,九州・沖縄,鹿児島,boundary,若手(3-5年),深夜流入,条件変更,no,no,no,,,no,
W8-040,W8,九州・沖縄,福岡,boundary,ブランクあり,LP→LINE,短文,no,no,no,,,no,
W8-041,W8,東海,愛知,boundary,時短希望,再来訪,曖昧回答,no,no,no,,,no,
W8-042,W8,関西,兵庫,boundary,夜勤専従,広告→LINE,誤字あり,no,no,no,,,no,
W8-043,W8,関西,大阪,adversarial,情報収集中,紹介,急ぎ,no,no,no,,,no,
W8-044,W8,関東,神奈川,adversarial,若手(3-5年),深夜流入,曖昧回答,no,no,no,,,no,
W8-045,W8,中国,広島,adversarial,ブランクあり,LP→LINE,矛盾条件,no,no,no,,,no,
W8-046,W8,関東,東京,adversarial,時短希望,再来訪,繰返し質問,no,no,no,,,no,
W8-047,W8,北海道・東北,北海道,adversarial,夜勤専従,広告→LINE,急ぎ,no,no,no,,,no,
W8-048,W8,関西,京都,adversarial,情報収集中,紹介,曖昧回答,no,no,no,,,no,
W8-049,W8,北海道・東北,宮城,adversarial,若手(3-5年),深夜流入,矛盾条件,no,no,no,,,no,
W8-050,W8,関東,埼玉,adversarial,ブランクあり,LP→LINE,繰返し質問,no,no,no,,,no,
